Feature,Importance
Junction,0.5164318147181042
Year,0.1665811150205087
Hour,0.14568211189085464
Month,0.06757059175317513
Day,0.03233800456921672
DayOfWeek_Saturday,0.03082341213237299
DayOfWeek_Sunday,0.029711752826767465
DayOfWeek_Monday,0.0040542263153018855
DayOfWeek_Thursday,0.002798956337520833
DayOfWeek_Tuesday,0.0020701853595256636
DayOfWeek_Wednesday,0.0019378290766518568
